level,p,se,variable,factor,segment,estimator,lo,hi,expected,expected_lo,expected_hi
Employed,-0.10254818146088868,0.051925000337611577,employment,f1,1,Bartlett,-0.20586264447812946,7.662815563521247e-4,3.345024209209534,3.1983312156639374,3.491717202755131
Unemployed,-0.10450204769212401,0.06482674880974819,employment,f1,1,Bartlett,-0.23348694319305602,0.024482847808807995,3.3422499753019377,3.159108332877293,3.5253916177265823
Not in labor force,-0.25763576715672026,0.1441340195579648,employment,f1,1,Bartlett,-0.5444172546160726,0.029145720302632017,3.124820168622455,2.7176280518531786,3.532012285391731
Student,0.18050668481248697,0.041000747705682135,employment,f1,1,Bartlett,0.09892805785098424,0.2620853117739897,3.74692501243358,3.6310940566425662,3.8627559682245938
Homemaker,-0.014530384228586987,0.05040927147356034,employment,f1,1,Bartlett,-0.11482902225495618,0.0857682537977822,3.469997942646459,3.3275870252303847,3.612408860062533
Retired,-0.2898663750969515,0.19085383272838474,employment,f1,1,Bartlett,-0.66960563585595,0.08987288566204699,3.079056930596836,2.5398769619777903,3.6182368992158813
Employed,-0.04057017381329408,0.06204843675738442,employment,f2,2,Bartlett,-0.16402709982134242,0.08288675219475425,2.897779800927776,2.7272612893420423,3.0682983125135097
Unemployed,-0.00491783339356463,0.05514185207620164,employment,f2,2,Bartlett,-0.11463282231966665,0.10479715553253738,2.9470227573134213,2.795484587562584,3.0985609270642582
Not in labor force,-0.2596174437374746,0.1589765795761829,employment,f2,2,Bartlett,-0.5759309698701637,0.05669608239521451,2.5952320570129896,2.158340313352816,3.0321238006731632
Student,0.05959400149221802,0.06620443949753912,employment,f2,2,Bartlett,-0.07213206632816554,0.1913200693126016,3.036126401961686,2.8541865647401687,3.2180662391832033
Homemaker,0.030660012429117384,0.03659555574474148,employment,f2,2,Bartlett,-0.04215366433549943,0.10347368919373419,2.9961628218790572,2.895592686314709,3.096732957443406
Retired,-0.17603505084542845,0.09680088673798241,employment,f2,2,Bartlett,-0.36863845128649275,0.01656834959563583,2.7106759263168194,2.4446524132461933,2.9766994393874455
Male,-0.0833383693225278,0.04791418786896502,sex,f1,1,Bartlett,-0.17867257362495215,0.011995834979896536,3.3722996241488197,3.2369375518117027,3.5076616964859366
Female,-0.05324371274688605,0.04207953364145472,sex,f1,1,Bartlett,-0.13696878533073314,0.03048135983696104,3.415030091247805,3.2961514640598835,3.5339087184357267
Male,-0.052401122369698495,0.0319274694892285,sex,f2,2,Bartlett,-0.11592677175500399,0.01112452701560699,2.88143891343189,2.7936973866422683,2.969180440221511
Female,-0.012079844958812444,0.052101744988013954,sex,f2,2,Bartlett,-0.11574597438970302,0.09158628447207814,2.937130598229643,2.793947103678214,3.0803140927810713
Urban,-0.12097848881251015,0.04049247571346233,urban,f1,1,Bartlett,-0.20154581394249693,-0.04041116368252337,3.3188555888787716,3.2044605491125884,3.4332506286449553
Rural,0.04503221204080211,0.05940156876998287,urban,f1,1,Bartlett,-0.07315827693271748,0.16322270101432168,3.554569021031161,3.3867540207900992,3.722384021272223
Urban,-0.07647781028073702,0.02677011330667282,urban,f2,2,Bartlett,-0.12974193860441557,-0.023213681957058474,2.8481842300434757,2.7746158999679875,2.9217525601189633
Rural,0.06436213603368643,0.08392887102984925,urban,f2,2,Bartlett,-0.10262999079758287,0.23135426286495572,3.0427121418739103,2.8120628795397113,3.273361404208109
